run_id,wall_r,roof_r,floor_r,wwr,infil_base,infil_type,weather,eui
run_0000,16.5,20.3,5.6,0.35,0.00083,Wind_Driven,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMYx.2009-2023.epw,463.34
run_0006,53.5,59.5,8.7,0.71,0.00015,Constant,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMYx.2009-2023.epw,458.07
run_0001,54.2,50.6,21.0,0.33,0.00048,Wind_Driven,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMYx.2009-2023.epw,429.57
run_0009,33.5,45.9,27.4,0.28,0.00038,Stack_Driven,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMYx.2009-2023.epw,434.8
run_0008,34.5,10.2,4.9,0.62,0.00069,Wind_Driven,CAN_MB_Winnipeg-Richardson.Intl.AP.718520_TMYx.2009-2023.epw,484.18
run_0002,14.4,32.6,21.0,0.33,0.00088,Constant,CAN_NU_Resolute.Bay.AP.719240_TMYx.2009-2023.epw,518.72
run_0005,10.2,26.0,6.3,0.78,0.00063,Wind_Driven,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMYx.2009-2023.epw,493.85
run_0007,53.5,39.4,12.6,0.86,0.00027,Stack_Driven,USA_CO_Denver.Intl.AP.725650_TMYx.2009-2023.epw,482.48
run_0003,8.9,12.7,9.0,0.87,0.00035,Wind_Driven,USA_FL_Miami.Exec.AP.722029_TMYx.2009-2023.epw,490.43
run_0004,15.1,16.1,8.7,0.58,0.00092,Stack_Driven,USA_FL_Miami.Exec.AP.722029_TMYx.2009-2023.epw,520.43
